,prov,total.rev,ratio,total.exp,balance.trans,target.trans,project.trans,net.trans,year
19,Hai Phong,12608000,90,2835687,665347,665347,596120,9772313,2007
201,Quang Ninh,7256000,76,2441278,292368,292368,189464,4814722,2007
211,Hai Duong,2501000,100,2063548,257866,179798,88515,437452,2007
221,Hung Yen,1264800,100,1222103,621708,154405,88501,42697,2007
231,Vinh Phuc,4734500,67,2522210,95869,95869,42925,2212290,2007
241,Bac Ninh,1202000,100,1381069,432880,139691,78260,-179069,2007
251,Ha Tay,2111050,100,3024427,1387757,305930,214020,-913377,2007
261,Ha Nam,428600,100,836033,744265,317332,249220,-407433,2007
271,Nam Dinh,707000,100,1902293,1628166,393203,305920,-1195293,2007
281,Ninh Binh,725700,100,1213026,1116928,528602,453065,-487326,2007
291,Thai Binh,1035400,100,1836648,1373825,259777,184310,-801248,2007
31,Thanh Hoa,1647500,100,4044954,3258434,819680,555235,-2397454,2007
321,Nghe An,1872500,100,3621304,2959020,705216,468085,-1748804,2007
331,Ha Tinh,573450,100,1680816,1835258,687042,544675,-1107366,2007
341,Quang Binh,534300,100,1198692,1186549,481597,347135,-664392,2007
351,Quang Tri,463100,100,916316,1227108,627392,494875,-453216,2007
361,Thua Thien - Hue,1172000,100,1438193,901546,590353,455055,-266193,2007
371,Da Nang,4620000,90,2801559,315354,315354,267550,1818441,2007
38,Quang Nam,1077600,100,1777326,1953981,773055,583852,-699726,2007
391,Quang Ngai,1078200,100,1436582,856709,480227,345790,-358382,2007
401,Binh Dinh,1399100,100,1715570,960598,480506,347965,-316470,2007
411,Phu Yen,508000,100,988597,847002,339017,242560,-480597,2007
421,Khanh Hoa,4102000,53,1981793,234748,234748,165700,2120207,2007
431,Ninh Thuan,243800,100,642576,812591,413615,309275,-398776,2007
441,Binh Thuan,3026600,100,1544076,818890,326874,219055,1482524,2007
461,Dak Lak,1106100,100,2411924,1732136,419487,274736,-1305824,2007
47,Dak Nong,236200,100,803619,1031827,462968,354971,-567419,2007
481,Gia Lai,967000,100,1770032,1248680,440315,277025,-803032,2007
491,Kon Tum,316950,100,852494,1052621,499517,364655,-535544,2007
501,Lam Dong,1329200,100,1817298,907807,410909,276720,-488098,2007
521,Ho Chi Minh City,77959500,26,14054531,1011371,1011371,948977,63904969,2007
53,Dong Nai,9561300,45,3187576,99357,99357,49612,6373724,2007
541,Binh Duong,6307600,40,1881350,58131,58131,22226,4426250,2007
551,Binh Phuoc,1035000,100,1200084,453997,275003,183600,-165084,2007
561,Tay Ninh,1081000,100,1104879,334084,150205,71802,-23879,2007
571,Ba Ria - Vung Tau,73855000,46,3002638,245095,245095,213710,70852362,2007
591,Long An,1262000,100,1576140,601509,161849,73948,-314140,2007
60,Tien Giang,1151000,100,1518930,567433,185293,104075,-367930,2007
611,Ben Tre,568900,100,1114531,724519,173888,103651,-545631,2007
621,Tra Vinh,318500,100,1008719,973476,281197,184960,-690219,2007
631,Vinh Long,674100,100,1056725,576191,163466,102670,-382625,2007
641,Can Tho,2748500,96,1727754,252838,252838,188228,1020746,2007
651,Hau Giang,273500,100,789282,880902,363618,271075,-515782,2007
661,Soc Trang,651700,100,1259866,944086,333420,217605,-608166,2007
671,An Giang,1525100,100,1957743,771420,278777,178572,-432643,2007
681,Dong Thap,1387000,100,1752810,907337,249027,138979,-365810,2007
691,Kien Giang,1196200,100,1741266,954107,333036,233635,-545066,2007
701,Bac Lieu,520700,100,875786,569750,211964,131720,-355086,2007
711,Ca Mau,914800,100,1232183,570343,246160,169905,-317383,2007
612,Ha Giang,239800,100,1561007,1959674,697094,407930,-1321207,2008
712,Tuyen Quang,331000,100,1272632,1194175,328120,175150,-941632,2008
82,Cao Bang,265000,100,1180082,1601501,687284,450070,-915082,2008
92,Lang Son,1335000,100,1524090,1449429,444572,254820,-189090,2008
102,Lao Cai,915000,100,1309030,1504660,641965,433680,-394030,2008
112,Yen Bai,329000,100,1333340,1394223,489694,307050,-1004340,2008
122,Thai Nguyen,736000,100,1649547,1285471,435885,270720,-913547,2008
132,Bac Kan,130820,100,764725,1060234,465254,296490,-633905,2008
141,Phu Tho,977000,100,1957325,1696114,750956,552320,-980325,2008
152,Bac Giang,668200,100,2079767,1710787,418481,283960,-1411567,2008
162,Hoa Binh,366000,100,1469622,1560156,565347,380080,-1103622,2008
171,Son La,407100,100,1895049,1910590,565274,334020,-1487949,2008
182,Lai Chau,119400,100,999984,1599883,786275,490660,-880584,2008
191,Dien Bien,154700,100,1095895,1380754,522580,281860,-941195,2008
222,Ha Noi,53807000,31,10966494,473437,473437,387000,42840506,2008
232,Hai Phong,15698000,90,3527813,612946,612946,528860,12170187,2008
242,Quang Ninh,9980000,76,2861669,298299,298299,179460,7118331,2008
252,Hai Duong,2607000,100,2432781,248464,170395,77100,174219,2008
262,Hung Yen,1485000,100,1542558,608926,141623,67700,-57558,2008
272,Vinh Phuc,6100000,67,3452814,62482,62482,7970,2647186,2008
282,Bac Ninh,1553500,100,1769128,435658,142469,75300,-215628,2008
292,Ha Tay,3347500,100,4357553,1300135,218307,112520,-1010053,2008
301,Ha Nam,512000,100,965048,824796,397863,306220,-453048,2008
311,Nam Dinh,864500,100,2158147,1679053,444090,342020,-1293647,2008
322,Ninh Binh,826000,100,1476854,1203397,615071,513840,-650854,2008
332,Thai Binh,1210000,100,2039424,1449732,335684,244300,-829424,2008
372,Thanh Hoa,1914500,100,4615960,3449181,1010426,683860,-2701460,2008
381,Nghe An,2158600,100,4019994,3140936,887132,582490,-1861394,2008
392,Ha Tinh,739600,100,1947315,1949248,801032,586070,-1207715,2008
402,Quang Binh,637000,100,1356833,1252185,547233,370020,-719833,2008
412,Quang Tri,607680,100,1072780,1279320,679604,533010,-465100,2008
422,Thua Thien - Hue,1610000,100,1925119,888430,577237,404870,-315119,2008
432,Da Nang,5400000,90,3554132,242881,242881,199260,1845868,2008
442,Quang Nam,1170000,100,2077586,1943960,763034,549370,-907586,2008
451,Quang Ngai,1438000,100,1953392,1087624,711143,493530,-515392,2008
462,Binh Dinh,1710000,100,1907736,963336,483244,326240,-197736,2008
471,Phu Yen,735000,100,1149575,857749,349764,230230,-414575,2008
482,Khanh Hoa,4188000,53,2172648,261526,261526,178110,2015352,2008
492,Ninh Thuan,318000,100,732625,851516,452540,307950,-414625,2008
502,Binh Thuan,3287500,100,1525686,895283,403267,282730,1761814,2008
522,Dak Lak,1623500,100,2986808,1859070,546420,344560,-1363308,2008
531,Dak Nong,330500,100,920864,1093746,524887,360720,-590364,2008
542,Gia Lai,1326000,100,2181744,1310854,502489,300620,-855744,2008
552,Kon Tum,391600,100,968740,1152724,599620,429240,-577140,2008
562,Lam Dong,1547000,100,2126417,891161,394262,252710,-579417,2008
592,Ho Chi Minh City,98070200,26,16819262,955496,955496,797380,81250938,2008
601,Dong Nai,10451800,45,3762976,105879,105879,64060,6688824,2008
613,Binh Duong,8390000,40,2535906,56195,56195,22465,5854094,2008
622,Binh Phuoc,1188500,100,1494911,460422,281428,185310,-306411,2008
632,Tay Ninh,1310000,100,1382517,341609,157730,74500,-72517,2008
642,Ba Ria - Vung Tau,67898500,46,3214316,365915,365915,202770,64684184,2008
672,Long An,1592000,100,1927658,634217,194557,88960,-335658,2008
682,Tien Giang,1383000,100,1748235,561818,179678,95500,-365235,2008
692,Ben Tre,685000,100,1278541,767438,216807,133400,-593541,2008
702,Tra Vinh,384000,100,1122716,1057034,364756,225300,-738716,2008
713,Vinh Long,803000,100,1211411,582405,169680,96420,-408411,2008
721,Can Tho,3322000,96,2157898,316178,316178,242860,1164102,2008
731,Hau Giang,328000,100,872864,964554,447271,325000,-544864,2008
74,Soc Trang,840500,100,1492859,1047228,436562,285940,-652359,2008
75,An Giang,1705000,100,2175909,804890,312248,171990,-470909,2008
76,Dong Thap,1680000,100,2051460,905968,247658,141900,-371460,2008
77,Kien Giang,1449000,100,2086589,1061074,440003,331710,-637589,2008
78,Bac Lieu,580000,100,966677,620743,262956,174250,-386677,2008
79,Ca Mau,1242500,100,1610024,560750,236567,153895,-367524,2008
511,Ha Giang,379400,100,1773286,2540027,987833,425100,-1393886,2009
614,Tuyen Quang,369300,100,1427846,1570521,513128,207380,-1058546,2009
714,Cao Bang,347200,100,1336996,1945045,846849,402140,-989796,2009
83,Lang Son,1600100,100,1721393,1876375,611921,252680,-121293,2009
93,Lao Cai,931600,100,1471025,1932818,887469,458850,-539425,2009
103,Yen Bai,399000,100,1521616,1830104,711788,350020,-1122616,2009
113,Thai Nguyen,1073300,100,1990838,1481928,591239,277870,-917538,2009
123,Bac Kan,157700,100,850918,1344831,649523,369564,-693218,2009
133,Phu Tho,1156000,100,2278428,2047948,911343,528700,-1122428,2009
142,Bac Giang,850000,100,2285866,2136552,606666,302040,-1435866,2009
153,Hoa Binh,505000,100,1726368,1965905,760127,339220,-1221368,2009
163,Son La,470200,100,2125863,2481645,837370,294940,-1655663,2009
172,Lai Chau,129500,100,1123916,1947190,947620,458850,-994416,2009
183,Dien Bien,187300,100,1223553,1746798,709395,270746,-1036253,2009
202,Ha Noi,70242000,45,23265642,553293,553293,387140,46976358,2009
212,Hai Phong,23966000,90,3961438,764616,764616,628400,20004562,2009
223,Quang Ninh,13250000,76,3284292,416079,416079,240000,9965708,2009
233,Hai Duong,3569000,100,3308383,371436,293367,95000,260617,2009
243,Hung Yen,1939000,100,1868848,680308,213005,74220,70152,2009
253,Vinh Phuc,9850000,67,6218962,109720,109720,47540,3631038,2009
263,Bac Ninh,1905400,100,2159494,501384,208195,92500,-254094,2009
273,Ha Nam,671000,100,1094937,1037726,540793,356100,-423937,2009
283,Nam Dinh,1010000,100,2446536,2242576,710815,428500,-1436536,2009
293,Ninh Binh,1363000,100,1822947,1491276,901471,728400,-459947,2009
302,Thai Binh,1367000,100,2331767,1769194,539774,331000,-964767,2009
333,Thanh Hoa,2183300,100,5253330,4815793,1753509,850357,-3070030,2009
342,Nghe An,2128000,100,4470858,4214107,1370899,644880,-2342858,2009
352,Ha Tinh,818600,100,2244314,2870108,1350794,880100,-1425714,2009
362,Quang Binh,747000,100,1590624,1630042,708692,414800,-843624,2009
373,Quang Tri,703400,100,1197343,1580089,821801,596782,-493943,2009
382,Thua Thien - Hue,1945000,100,2176496,1049227,738034,469290,-231496,2009
393,Da Nang,6430000,90,4095019,293632,293632,220700,2334981,2009
403,Quang Nam,1546600,100,2424673,2278966,964098,573900,-878073,2009
413,Quang Ngai,2015000,100,1533747,1738971,1245324,498402,481253,2009
423,Binh Dinh,1985000,100,1987756,1234201,687905,395300,-2756,2009
433,Phu Yen,789500,100,1324074,1012967,460756,275622,-534574,2009
443,Khanh Hoa,5053000,53,2376631,634185,498623,188200,2676369,2009
452,Ninh Thuan,325500,100,791878,1067584,601106,349600,-466378,2009
463,Binh Thuan,5568000,100,1843390,1005775,460390,238730,3724610,2009
483,Dak Lak,1984000,100,3374780,2136260,823611,404080,-1390780,2009
