,prov,total.rev,ratio,total.exp,balance.trans,target.trans,project.trans,net.trans,year
645,Can Tho,5467000,91,4145956,318700,318700,317200,1321044,2011
654,Hau Giang,625000,100,1841362,1772332,554150,549500,-1216362,2011
664,Soc Trang,677000,100,2959726,2810206,522480,508400,-2282726,2011
675,An Giang,2532000,100,4415728,2367918,397190,389900,-1883728,2011
685,Dong Thap,3130000,100,3975449,1515049,369340,353200,-845449,2011
695,Kien Giang,2250000,100,4140505,2562585,618080,596800,-1890505,2011
705,Bac Lieu,769000,100,1825438,1372168,315070,304900,-1056438,2011
718,Ca Mau,2275000,100,2767885,869745,354860,344000,-492885,2011
315,Ha Giang,1055000,100,4674912.3,4677819.3,1139719.3,842500,-3619912.3,2012
418,Tuyen Quang,866500,100,3021348,2638211,749420,562000,-2154848,2012
516,Cao Bang,639000,100,3399891,3351755,855072,652000,-2760891,2012
620,Lang Son,3220500,100,3763589,3085221,543379,386098,-543089,2012
719,Lao Cai,2550000,100,3785244,3102894,942340,706000,-1235244,2012
86,Yen Bai,850000,100,3408607,2907107.3,671800,502448,-2558607,2012
96,Thai Nguyen,3084000,100,4543107,2309710,676262,485316,-1459107,2012
106,Bac Kan,361700,100,2043832.3,2074190.3,582133.3,468469,-1682132.3,2012
116,Phu Tho,2330000,100,4935452,3539877,1025054,790457,-2605452,2012
126,Bac Giang,1870000,100,5233455.3,3728900.3,535885.3,340788,-3363455.3,2012
136,Hoa Binh,1586000,100,4066878.3,2921698,816592,523214,-2480878.3,2012
145,Son La,1580500,100,5247862,4371445,1114747,736500,-3667362,2012
156,Lai Chau,307500,100,2993994.3,3695768,1315392,937500,-2686494.3,2012
166,Dien Bien,424000,100,3388539.3,3729136,1116690,772000,-2964539.3,2012
185,Ha Noi,145178000,42,50797010.3,556940,556940,550000,94380989.7,2012
194,Hai Phong,56470000,88,8317582,779509,779509,700620,48152418,2012
205,Quang Ninh,28601000,70,12495091.6,557925,557925,499000,16105908.4,2012
215,Hai Duong,6200000,100,5719585,873907,437782,298166,480415,2012
226,Hung Yen,4450000,100,3996683,692145,241812,184421,453317,2012
236,Vinh Phuc,17920000,60,7776787.6,229559,229559,200602,10143212.4,2012
246,Bac Ninh,6850000,93,4384481,216290,216290,190299,2465519,2012
256,Ha Nam,2028000,100,2712269,1491286.6,452758,337300,-684269,2012
266,Nam Dinh,1760000,100,5209063,3919911,670409,523000,-3449063,2012
276,Ninh Binh,2715000,100,3342780,1714922,504751,393784,-627780,2012
286,Thai Binh,2035000,100,4998088.6,3348451.6,594504,423000,-2963088.6,2012
304,Thanh Hoa,5183000,100,11936034,8359349.3,1855933,1125000,-6753034,2012
316,Nghe An,5770000,100,10381915,6633504.3,1494667,908000,-4611915,2012
325,Ha Tinh,2425000,100,5344945.6,4242314,1191499,909831,-2919945.6,2012
336,Quang Binh,1450000,100,3552848,2664689,763901,557148,-2102848,2012
345,Quang Tri,1370000,100,2693168.6,2561416,962986,791000,-1323168.6,2012
355,Thua Thien - Hue,3497000,100,4330213,1530046,666263,450463,-833213,2012
365,Da Nang,12450000,85,9011399,586112,586112,539000,3438601,2012
376,Quang Nam,7700000,100,6861405,3448864,1178459,903000,838595,2012
385,Quang Ngai,18194000,61,4917298,1302486,1302486,1067500,13276702,2012
396,Binh Dinh,3250000,100,4076284,1976872,690236,491432,-826284,2012
406,Phu Yen,1350000,100,2886063,1829636,452587,374941,-1536063,2012
419,Khanh Hoa,8635000,77,5014527,326958,326958,238048,3620473,2012
426,Ninh Thuan,1103000,100,1821532,1680655,713828,552000,-718532,2012
436,Binh Thuan,5670000,100,3581057,1615583,500343,356172,2088943,2012
454,Dak Lak,3412000,100,6319797,3859575.9,1053764.3,575000,-2907797,2012
466,Dak Nong,1042000,100,2390972,2149537.6,851109,647146,-1348972,2012
474,Gia Lai,2888000,100,5127721,3111193.3,894442.3,548803,-2239721,2012
486,Kon Tum,1302000,100,2712043,2080225,754245,573605,-1410043,2012
496,Lam Dong,3256000,100,4682726,2229827,555446,395880,-1426726,2012
517,Ho Chi Minh City,227200000,23,34953647,1374565.3,1374565.3,1371000,192246353,2012
526,Dong Nai,26035000,51,8642929,231186,231186,170000,17392071,2012
534,Binh Duong,25617300,40,7495046,171380,171380,169000,18122254,2012
546,Binh Phuoc,2841000,100,3611062,1271146,406224,306090,-770062,2012
556,Tay Ninh,3175000,100,3239020,654738,268888,187000,-64020,2012
566,Ba Ria - Vung Tau,101350000,44,7378694,180870,180870,158000,93971306,2012
583,Long An,4645000,100,4615871.3,1087265.6,389344.6,242000,29128.7,2012
596,Tien Giang,3100000,100,3972844,1505345,456803,351000,-872844,2012
604,Ben Tre,1250000,100,2992343,2040811.6,455305.6,343498,-1742343,2012
6110,Tra Vinh,827000,100,3099504,2653025.3,574706,455000,-2272504,2012
626,Vinh Long,1653000,100,2618822,1312530.3,377262,259430,-965822,2012
636,Can Tho,6860000,91,5600419.3,475313,475313,443022,1259580.7,2012
646,Hau Giang,845000,100,2215911,1907209.3,652482,536382,-1370911,2012
655,Soc Trang,8.00E+05,100,3447021,3066155.3,709798,523378,-2647021,2012
665,An Giang,3439000,100,5455626,2639534.3,619881,453849,-2016626,2012
676,Dong Thap,3748000,100,4719471,1730926,556774,432151,-971471,2012
686,Kien Giang,2790000,100,4883393,2825694,832916,686120,-2093393,2012
696,Bac Lieu,946000,100,2151034,1570994,482183,380629,-1205034,2012
706,Ca Mau,3500000,100,3977617,1080118,552451,416000,-477617,2012
2,Ha Giang,1264000,100,5519261.259,3538099.696,1663346.332,587163,-4255261.259,2013
317,Tuyen Quang,970000,100,3597300.106,1888790.715,1016335.501,443274,-2627300.106,2013
420,Cao Bang,832200,100,3997541.713,2496683.448,1260803.069,438844,-3165341.713,2013
518,Lang Son,3268000,100,4373736.572,2541842.342,902597.5674,419221,-1105736.572,2013
627,Lao Cai,3075000,100,4722015.901,2160553.814,1453113.161,725320,-1647015.901,2013
720,Yen Bai,884000,100,3990544.224,2235306.72,1103909.333,393468,-3106544.224,2013
87,Thai Nguyen,3450000,100,5379778.91,1633448.082,986037.4553,472602,-1929778.91,2013
97,Bac Kan,382800,100,2352399.529,1492057.027,806039.3631,346105,-1969599.529,2013
107,Phu Tho,2702000,100,5969532.203,2514822.915,1454998.984,606433,-3267532.203,2013
117,Bac Giang,2180000,100,6221266.363,3193015.329,1044709.529,303422,-4041266.363,2013
127,Hoa Binh,1699000,100,4796957.855,2105106.401,1128094.29,439392,-3097957.855,2013
137,Son La,1756000,100,6053021.219,3256698.255,1578337.136,478771,-4297021.219,2013
146,Lai Chau,375800,100,3488953.429,2380375.592,1631251.85,732785,-3113153.429,2013
157,Dien Bien,536200,100,3981677.114,2612446.03,1549007.43,620893,-3445477.114,2013
174,Ha Noi,161475000,42,56926020,0,645802,487000,104548980,2013
186,Hai Phong,48217000,88,8384482,0,1123917.162,814898,39832518,2013
195,Quang Ninh,33590000,70,11758940,0,838377.1652,510994,21831060,2013
206,Hai Duong,6213000,100,6200659.888,436124.5542,874633.624,215779,12340.11233,2013
216,Hung Yen,5422000,100,4857532.555,450332.5548,496274.8201,193801,564467.4452,2013
227,Vinh Phuc,15883000,60,7299956,0,345678.2203,159805,8583044,2013
237,Bac Ninh,10897000,93,5561315,0,324011.2791,165803,5335685,2013
247,Ha Nam,2647000,100,3370155.306,1038528.974,642178.5496,288093,-723155.3058,2013
257,Nam Dinh,2115000,100,6305198.125,3249502.212,1267575.148,587177,-4190198.125,2013
267,Ninh Binh,2738000,100,4134848.406,1210171.1,720415.5131,246704,-1396848.406,2013
277,Thai Binh,2447000,100,5969059.193,2753948.054,1125000.147,479382,-3522059.193,2013
295,Thanh Hoa,6513000,100,13826102.24,6503416.075,2943937.63,1103350,-7313102.241,2013
305,Nghe An,5272000,100,11598981.76,5138837.454,2490885.157,890329,-6326981.759,2013
318,Ha Tinh,4172000,100,6949909.697,3050815.198,2184656.203,1261315,-2777909.697,2013
326,Quang Binh,1954000,100,4397849.094,1900788.342,1181234.506,583622,-2443849.094,2013
337,Quang Tri,1631000,100,3086381.067,1598429.632,1321268.06,840059,-1455381.067,2013
346,Thua Thien - Hue,4457000,100,5178145.804,863783.2714,994997.8604,560264,-721145.8043,2013
356,Da Nang,11040000,85,7246552,0,585808.8909,447956,3793448,2013
366,Quang Nam,5888000,100,6779040.953,2270404.588,1851023.506,941471,-891040.9527,2013
377,Quang Ngai,21369000,61,5488157.457,0,1250792.599,517649,15880842.54,2013
386,Binh Dinh,4035000,100,4896369.65,1286636.206,1088619.376,459861,-861369.6503,2013
397,Phu Yen,1402000,100,3306207.882,1377049.184,679736.4447,407589,-1904207.882,2013
407,Khanh Hoa,10032000,77,5663882,0,562803.7602,333448,4368118,2013
4110,Ninh Thuan,1203000,100,2107224.791,966827.0673,826511.4108,483940,-904224.7912,2013
427,Binh Thuan,6006000,100,4594494.907,1115239.965,729918.0427,343273,1411505.093,2013
445,Dak Lak,4053000,100,7502847.821,2805811.81,1284221.866,580794,-3449847.821,2013
455,Dak Nong,1439000,100,2839860.321,1298428.646,933415.0886,526813,-1400860.321,2013
467,Gia Lai,3379300,100,6052322.689,2216750.744,1229216.261,496253,-2673022.689,2013
475,Kon Tum,1603700,100,3166893.998,1325980.48,1089160.76,520231,-1563193.998,2013
487,Lam Dong,3723000,100,5680479.431,1674380.604,866780.4068,306349,-1957479.431,2013
505,Ho Chi Minh City,236830000,23,38681380,0,1403900,1265250,198148620,2013
519,Dong Nai,30694000,51,9692402,0,301558.7437,136000,21001598,2013
527,Binh Duong,28356000,40,8788078,0,144923,88000,19567922,2013
535,Binh Phuoc,4035000,100,4766052.307,864922.3074,580906.4559,265144,-731052.3074,2013
547,Tay Ninh,3990000,100,3894270.03,385850.03,415560.2392,202152,95729.97002,2013
557,Ba Ria - Vung Tau,125538000,44,9032544,0,288587,160045,116505456,2013
574,Long An,5553000,100,5500045.662,697921.2107,559340.3577,239625,52954.33787,2013
584,Tien Giang,3224000,100,4607815.974,1048542.096,560193.7303,232179,-1383815.974,2013
597,Ben Tre,1460000,100,3545324.104,1585505.98,602356.3251,307749,-2085324.104,2013
605,Tra Vinh,1057000,100,3636267.041,2078319.075,715476.0478,386869,-2579267.041,2013
6111,Vinh Long,1861000,100,3055639.429,935268.4293,418036.8621,213451,-1194639.429,2013
628,Can Tho,6542000,91,5396624,0,512048.0038,331712,1145376,2013
637,Hau Giang,979000,100,2533308.343,1254727.125,711477.5976,468951,-1554308.343,2013
647,Soc Trang,915000,100,3915883.504,2356357.368,873042.335,386359,-3000883.504,2013
656,An Giang,3669000,100,6086398.926,2019653.087,892361.5601,474895,-2417398.926,2013
666,Dong Thap,4027000,100,5593411.321,1174152.097,774054.899,420636,-1566411.321,2013
677,Kien Giang,3494000,100,5999572.784,1992778.418,1077778.19,746722,-2505572.784,2013
687,Bac Lieu,1184000,100,2552607.225,1088811.307,583807.5296,353066,-1368607.225,2013
697,Ca Mau,4401000,100,4823606.885,527666.8854,591590.2303,345700,-422606.8854,2013
319,Ha Giang,1175000,100,6063404.5,3538100,1764694,707500,-4888404.5,2014
428,Tuyen Quang,960000,100,3749000,1888791,1011378,494900,-2789000,2014
520,Cao Bang,779000,100,4246297,2496683,1243486,445100,-3467297,2014
629,Lang Son,3200000,100,4761635,2541842,961190,446300,-1561635,2014
723,Lao Cai,3500000,100,5295546.5,2160554,1386462,671900,-1795546.5,2014
88,Yen Bai,1065000,100,4395811,2235307,1160484,445200,-3330811,2014
98,Thai Nguyen,3950000,100,5762432,1633448,834592.5,4.00E+05,-1812432,2014
108,Bac Kan,433000,100,2523284,1492057,759452,299000,-2090284,2014
118,Phu Tho,2926000,100,6389294,2514823,1479861.5,749700,-3463294,2014
128,Bac Giang,2828500,100,6695932,3193015,1148076,430600,-3867432,2014
138,Hoa Binh,1702000,100,5246079,2105106,1100054,458800,-3544079,2014
147,Son La,1975500,100,6728805,3256698,1628143.5,545000,-4753305,2014
158,Lai Chau,512500,100,3874810,2380376,1706635,805080,-3362310,2014
167,Dien Bien,586000,100,4404704,2612446,1679591.5,678520,-3818704,2014
187,Ha Noi,126214000,42,45742070,0,746808,682000,80471930,2014
196,Hai Phong,44146000,88,8847284,0,1173052.5,870500,35298716,2014
207,Quang Ninh,31450000,70,10120550,0,789921.5,533000,21329450,2014
217,Hai Duong,6572000,100,6662266,436124.5,746753,186000,-90266,2014
228,Hung Yen,6342000,100,4889933,450333,507194,252500,1452067,2014
238,Vinh Phuc,17498000,60,8887590,0,363833,213000,8610410,2014
248,Bac Ninh,10718000,93,6288398,0,486679,316000,4429602,2014
258,Ha Nam,2731000,100,3424200,1038528.5,721422,403000,-693200,2014
268,Nam Dinh,2100000,100,6367265,3249502,1192397,587000,-4267265,2014
278,Ninh Binh,2355000,100,4212798,1210171,713130,263000,-1857798,2014
287,Thai Binh,2840000,100,6249265,2753948,1177242,593000,-3409265,2014
306,Thanh Hoa,5598000,100,15401760.6,6503416.4,2971854,1211300,-9803760.6,2014
3110,Nghe An,6420000,100,12909801,5138837.4,2488748,1004800,-6489801,2014
327,Ha Tinh,4920000,100,7864313.5,3050815.4,2058892,1225000,-2944313.5,2014
338,Quang Binh,1705000,100,4388919,1900788,1249970,613000,-2683919,2014
347,Quang Tri,1513000,100,3354215,1598430,1298437,801500,-1841215,2014
357,Thua Thien - Hue,4120000,100,5189581,863783,1074680,658400,-1069581,2014
367,Da Nang,10730000,85,7458088,0,614589,496700,3271912,2014
378,Quang Nam,6370000,100,7980507,2270405,1919549,1004500,-1610507,2014
387,Quang Ngai,22880000,61,5774089,0,1468471,733600,17105911,2014
398,Binh Dinh,3940000,100,5395640,1286636,1020765,419300,-1455640,2014
408,Phu Yen,1543000,100,3646615,1377049,684437,442600,-2103615,2014
4111,Khanh Hoa,12367700,77,5945345,0,514304,316500,6422355,2014
429,Ninh Thuan,1285000,100,2342264,966827,739540,416600,-1057264,2014
437,Binh Thuan,5725000,100,4629821,1115240,659937,303100,1095179,2014
456,Dak Lak,3408000,100,7840062,2805812.4,1500632,610700,-4432062,2014
468,Dak Nong,979000,100,2906145,1298428.5,966798,474400,-1927145,2014
476,Gia Lai,2912000,100,6111835,2216751,1357796,512300,-3199835,2014
488,Kon Tum,1568000,100,3371058,1325980,1026949,479600,-1803058,2014
497,Lam Dong,3277000,100,6017988,1674380.5,923469,332500,-2740988,2014
5110,Ho Chi Minh City,226300000,23,37758780,0,1322077,1244000,188541220,2014
528,Dong Nai,33070000,51,10649564,0,261653,143000,22420436,2014
536,Binh Duong,31400000,40,9325938,0,114671,88000,22074062,2014
548,Binh Phuoc,2955000,100,4212366.4,864922,779297,273500,-1257366.4,2014
558,Tay Ninh,4062800,100,3878870,385850,361377,184000,183930,2014
567,Ba Ria - Vung Tau,100800000,44,9812233.4,0,485620,219000,90987766.6,2014
585,Long An,5284000,100,5674770,697921.4,599601.5,297800,-390770,2014
598,Tien Giang,2894000,100,4633700,1048542.4,576248,194600,-1739700,2014
606,Ben Tre,1400000,100,3786941.5,1585506.4,623608,345100,-2386941.5,2014
6112,Tra Vinh,1230000,100,3899650,2078319.4,669039.5,365700,-2669650,2014
6210,Vinh Long,2722000,100,3423166,935268.4,449282,264600,-701166,2014
638,Can Tho,7235000,91,5894525,0,525975,413500,1340475,2014
648,Hau Giang,910000,100,2645867,1254727,627961,392000,-1735867,2014
657,Soc Trang,930000,100,4245550,2356357,860344,404600,-3315550,2014
667,An Giang,3160000,100,6095223,2019653,968547,456600,-2935223,2014
678,Dong Thap,3920000,100,5740984,1174152,787138,336800,-1820984,2014
688,Kien Giang,3468000,100,6278744,1992778,1163529,740900,-2810744,2014
698,Bac Lieu,1260000,100,2686119,1088811,543405,331500,-1426119,2014
707,Ca Mau,4380000,100,4800307,527667,553905,323300,-420307,2014
320,Ha Giang,1345500,100,6295964.3,3538100,1974235,795000,-4950464.3,2015
430,Tuyen Quang,1070500,100,3968509,1888791,1231451,523250,-2898009,2015
529,Cao Bang,973000,100,4390356,2496683,1634265,675900,-3417356,2015
630,Lang Son,4985000,100,5043685,2541842,1426197,587450,-58685,2015
724,Lao Cai,4537000,100,5679906,2160554,1922338.5,1102147,-1142906,2015
89,Yen Bai,1332000,100,4571419,2235307,1407923,592980,-3239419,2015
99,Thai Nguyen,4259000,100,6189423,1633448,1246806.5,620000,-1930423,2015
109,Bac Kan,440000,100,2548339,1492057,830690,330600,-2108339,2015
119,Phu Tho,3350000,100,6746934,2514823,1947824,1066900,-3396934,2015
129,Bac Giang,2880000,100,6872046,3193015,1461114,492000,-3992046,2015
139,Hoa Binh,1910000,100,5365517,2105106,1492522,711787,-3455517,2015
148,Son La,2737000,100,7189904,3256698,1972368,757650,-4452904,2015
159,Lai Chau,788000,100,4016395,2380376,1972122,966140,-3228395,2015
168,Dien Bien,727000,100,4607133,2612446,2021791,869140,-3880133,2015
188,Ha Noi,141690000,42,56292520,0,779991.5,633480,85397480,2015
197,Hai Phong,48275000,88,9413098.5,0,1369491,1022100,38861901.5,2015
208,Quang Ninh,35815000,70,12800046.5,0,1294282,944300,23014953.5,2015
218,Hai Duong,7705000,100,7100433,436124.5,1071549,284000,604567,2015
229,Hung Yen,7020000,100,5155333,450333,712679,349610,1864667,2015
239,Vinh Phuc,21990000,60,11762290,0,481384,274300,10227710,2015
249,Bac Ninh,13306000,93,7888117,0,590503,375400,5417883,2015
259,Ha Nam,2945000,100,3563877,1038528.5,1200534,785850,-618877,2015
269,Nam Dinh,2443000,100,6540397,3249502,1673887,789000,-4097397,2015
279,Ninh Binh,2683000,100,4444410,1210171,1068134,447400,-1761410,2015
288,Thai Binh,3319000,100,6719728,2753948,1635251,765000,-3400728,2015
307,Thanh Hoa,7003000,100,16290900,6503416.4,3873291,1510660,-9287900,2015
3111,Nghe An,8020000,100,13684530,5138837.4,3103916,1221350,-5664530,2015
328,Ha Tinh,9760000,100,8199037.4,3050815.4,2442125.5,1511900,1560962.6,2015
339,Quang Binh,1995000,100,4557731,1900788,1635594,860300,-2562731,2015
348,Quang Tri,2207000,100,3495019.2,1598430,1362261,700600,-1288019.2,2015
358,Thua Thien - Hue,4355000,100,5387325,863783,1139145.5,666500,-1032325,2015
368,Da Nang,11661000,85,7875350,0,678668,532600,3785650,2015
379,Quang Nam,8600000,100,8796810,2270405,2464344,1310962,-196810,2015
388,Quang Ngai,33190000,61,7078770,0,1579326.5,728900,26111230,2015
399,Binh Dinh,4230000,100,5542831,1286636,1525164,678700,-1312831,2015
409,Phu Yen,1956000,100,3922045,1377049,1038385,632000,-1966045,2015
4112,Khanh Hoa,14850000,77,6210744,0,678832,449300,8639256,2015
4210,Ninh Thuan,1278000,100,2467569,966827,759188.5,467800,-1189569,2015
438,Binh Thuan,7483000,100,4856502,1115240,867227.5,440600,2626498,2015
457,Dak Lak,2771000,100,7672987.5,2805812.4,1824220,621022,-4901987.5,2015
469,Dak Nong,1121000,100,2978450,1298428.5,1193325,592950,-1857450,2015
477,Gia Lai,2505000,100,6182861,2216751,1785385,730300,-3677861,2015
489,Kon Tum,1878000,100,3481282,1325980,1129375,565450,-1603282,2015
498,Lam Dong,4141000,100,6533896.5,1674380.5,1185686,404132,-2392896.5,2015
5111,Ho Chi Minh City,265776000,23,43589090.3,0,1279039,1098500,222186909.7,2015
5210,Dong Nai,37215000,51,12406290,0,353170,135000,24808710,2015
537,Binh Duong,32624000,40,10583327,0,161959,85000,22040673,2015
549,Binh Phuoc,2705000,100,4279677,864922,1152000,368300,-1574677,2015
559,Tay Ninh,3846000,100,3999085,385850,671573,254700,-153085,2015
568,Ba Ria - Vung Tau,118650000,44,11423470,0,670636,344000,107226530,2015
586,Long An,6555000,100,6051865.3,697921.4,838771.5,248795,503134.7,2015
599,Tien Giang,3611000,100,4848698,1048542.4,973905,384800,-1237698,2015
607,Ben Tre,1425000,100,3826192,1585506.4,835788,459125,-2401192,2015
6113,Tra Vinh,1585000,100,4137547,2078319.4,1185030,652850,-2552547,2015
6211,Vinh Long,3300000,100,3590475,935268.4,488191.5,225700,-290475,2015
639,Can Tho,8327000,91,6304391,0,619685,292400,2022609,2015
649,Hau Giang,9.00E+05,100,2657285,1254727,900227,528100,-1757285,2015
658,Soc Trang,923000,100,4432939,2356357,1206795,534450,-3509939,2015
668,An Giang,3290000,100,6209006,2019653,1639869,676200,-2919006,2015
679,Dong Thap,3145000,100,5405969,1174152,1312048,372200,-2260969,2015
689,Kien Giang,3247000,100,6020228,1992778,1938059,1098250,-2773228,2015
699,Bac Lieu,1170000,100,2648320,1088811,938512,510600,-1478320,2015
708,Ca Mau,3202000,100,4391280,527667,1478470,547720,-1189280,2015
